DateTime,AddedIPs,RemovedIPs
1592306165,1354,0
1592306705,23884,0
1592308099,16,4
1592310006,153,182
1592310611,2043,762
1592311924,593,88
1592313863,224,126
1592314445,522,97
1592315765,12,11
1592315996,336,140
1592317934,249,15
1592318044,66,59
1592319855,15,9
1592320590,523,142
1592321781,11,11
1592323695,468,660
1592324703,132,76
1592325606,17,6
1592326791,185,165
1592327544,11,10
1592328611,44,9
1592329447,32,120
1592330393,111,117
1592331365,14,13
1592331786,40,10
1592332444,45,57
1592333284,14,15
1592335208,130,110
1592335506,63,8
1592337123,9,21
1592337789,598,414
1592338104,43,140
1592339046,5,10
1592339665,59,117
1592340978,3,14
1592341190,116,177
1592342884,12,17
1592344146,206,162
1592344816,9,16
1592346744,9,14
1592346843,109,759
1592348649,250,0
1592349904,244,165
1592350568,7,5
1592351380,82,100
1592352762,11,5
1592353504,112,123
1592354650,39,70
1592355597,89,212
1592356565,9,13
1592357411,60,5
1592358509,12,13
1592358605,72,87
1592360406,8,8
1592361244,108,208
1592362327,5,7
1592362795,75,145
1592364272,8,11
1592364846,122,73
1592366164,14,14
1592366230,42,19
1592368084,13,10
1592368211,60,45
1592368446,21,62
1592370041,12,7
1592371932,158,44
1592373008,77,103
1592373927,17,13
1592374131,42,72
1592376034,26,15
1592376312,65,75
1592377193,77,83
1592377930,11,10
1592378706,96,10
1592379848,42,138
1592380456,46,31
1592381790,9,18
1592382304,139,65
1592383685,6,10
1592383806,92,91
1592385631,14,19
1592386443,137,108
1592387528,9,19
1592387690,72,24
1592389451,60,720
1592390048,66,65
1592391390,11,17
1592393288,529,105
1592393718,33,1378
1592395215,11,15
1592397136,174,300
1592398206,77,114
1592399049,17,6
1592400991,19,276
1592402890,214,497
1592403906,88,270
1592404805,19,24
1592406059,87,334
1592406754,23,18
1592407503,52,2
1592408043,27,83
1592408645,12,14
1592409417,65,48
1592410809,20,15
1592411644,78,270
1592412727,17,22
1592413189,56,193
1592414672,18,16
1592414704,56,9
1592416566,20,15
1592417281,91,427
1592418485,7,15
1592418844,52,245
1592420437,13,18
1592422332,158,206
1592422443,22,123
1592424247,19,19
1592425505,159,159
1592426189,24,14
1592428092,17,23932
1592429104,23847,0
1592430276,49,110
1592430997,95,41
1592432168,23,19
1592433243,1389,984
1592434087,14,13
1592434543,100,16
1592436033,336,0
1592436306,75,139
1592436845,19,58
1592437930,14,11
1592438393,82,187
1592439849,10,10
1592439906,63,6
1592440517,256,256
1592441781,31,88
1592441992,113,201
1592443685,11,14
1592444044,118,82
1592445615,9,25
1592447544,196,164
1592447644,37,85
1592449711,105,229
1592450704,70,2
1592451607,13,13
1592452772,165,159
1592453529,13,12
1592454309,73,6
1592455466,32,105
1592456390,72,315
1592457370,13,20
1592457906,57,41
1592458444,20,173
1592459285,7,11
1592459990,87,300
1592461210,16,20
1592462048,95,88
1592463127,7,12
1592463277,70,1
1592464451,60,259
1592465062,13,18
1592465738,65,71
1592466966,15,18
1592467001,67,51
1592468885,13,16
1592470838,187,326
1592472729,19,13
1592473426,138,362
1592474893,58,723
1592476811,276,129
1592477992,212,474
1592478741,278,0
1592479506,72,40
1592480648,33,379
1592481598,127,423
1592482568,15,13
1592483106,50,30
1592484500,7,8
1592484518,40,339
1592486405,13,8
1592486705,81,524
1592488324,14,14
1592490264,59,446
1592490304,59,411
1592492195,11,5
1592492414,2173,1917
1592492952,130,530
1592494087,5,5
1592494443,60,226
1592496024,15,12
1592497931,513,292
1592498044,121,54
1592500093,247,224
1592501106,238,6
1592502007,15,20
1592503190,377,347
1592503940,10,20
1592504703,256,5
1592505846,17,18
1592506299,339,89
1592507767,26,17
1592508843,981,299
1592509701,13,16
1592510390,334,255
1592511604,13,8
1592512211,141,5
1592513625,18,13
1592515470,12,9
1592517365,10,14
1592519583,10,11
1592521754,249,0
1592523011,506,0
1592523608,12,5
1592525791,9,13
1592527699,7,5
1592529609,12,7
1592531545,5,10
1592533449,10,20
1592535370,6,6
1592537303,14,4
1592539254,7,10
1592541153,8,11
1592543057,11,9
1592545033,12,23
1592546990,28,15
1592548811,16,20
1592550731,24,15
1592552046,1768,2689
1592552671,13,9
1592553355,36,32
1592554571,20,16
1592555073,54,74
1592556543,4,9
1592558430,70,130
1592558706,87,81
1592560332,6,11
1592560813,41,103
1592562257,42,744
1592562466,31,0
1592564185,17,17
1592564412,48,185
1592565308,81,65
1592566090,301,0
1592566668,70,81
1592568093,23,19
1592569506,76,74
1592569950,10,1284
1592571004,58,134
1592571850,12,13
1592573771,21,15
1592575712,145,136
1592577616,161,171
1592579535,11,11
1592579608,135,91
1592581471,11,9
1592583369,85,101
1592584212,1578,569
1592584444,86,60
1592585288,11,9
1592585657,34,23
1592587225,13,13
1592587506,58,48
1592588045,20,74
1592589133,10,8
1592589661,100,88
1592591048,7,12
1592591104,42,1
1592591645,18,73
1592592987,12,15
1592593250,67,95
1592594887,5,10
1592595243,124,78
1592596813,13,13
1592598752,110,166
1592598847,24,88
1592600651,14,8
1592601903,95,129
1592602570,17,22
1592604515,56,173
1592604949,52,80
1592606410,14,14
1592607005,78,114
1592608334,271,0
1592610278,79,91
1592610604,70,100
1592612174,6,12
1592612441,121,114
1592613246,52,98
1592614091,4,15
1592614858,137,108
1592616031,6,10
1592616034,84,1
1592616843,72,122
1592617931,6,16
1592617966,106,28
1592619312,0,1018
1592620099,154,113
1592620444,11,102
1592622035,6,14
1592622057,62,169
1592623932,110,12
1592624045,17,108
1592626096,6,14
1592628012,105,179
1592629948,6,7
1592631247,79,207
1592631849,12,13
1592632450,32,24
1592633796,10,13
1592634303,57,70
1592634846,21,107
1592635691,16,15
1592636452,48,115
1592637609,22,12
1592639552,87,125
1592640055,31,116
1592641182,40,0
1592641449,6,14
1592642043,20,86
1592643368,10,19
1592643655,43,80
1592645305,9,15
1592645643,74,212
1592647210,9,587
1592647256,60,318
1592649148,78,11
1592649244,14,112
1592651055,289,0
1592652304,153,164
1592652971,18,16
1592655156,75,182
1592656443,87,1333
1592657047,6,8
1592658050,62,62
1592659272,11,11
1592659504,42,0
1592661136,8,12
1592663077,82,98
1592663412,1587,249
1592663647,18,67
1592664978,11,9
1592665249,75,142
1592667207,15,18
1592667244,88,119
1592669067,9,8
1592670304,147,139
1592670966,19,8
1592672889,823,257
1592674211,123,0
1592674823,4,10
1592675404,507,129
1592676736,4,36
1592677503,118,127
1592678043,21,112
1592678650,7,6
1592679171,94,54
1592680583,11,21
1592681411,335,369
1592682488,10,9
1592682726,159,146
1592684423,9,24
1592684704,96,83
1592685244,24,79
1592686327,15,6
1592686848,107,81
1592688248,9,13
1592688304,55,0
1592688843,23,104
1592690183,6,8
1592692087,9,14
1592694019,627,157
1592695947,260,12
1592696046,138,133
1592698115,126,30
1592698705,74,70
1592699644,31,65
1592700011,11,10
1592701257,123,66
1592701932,13,8
1592702424,62,0
1592703244,32,69
1592703868,12,8
1592704859,95,89
1592705772,6,11
1592706304,55,1
1592706844,22,63
1592707691,4,5
1592708086,87,20
1592709622,5,17
1592712112,11,10
1592713943,115,285
1592714654,127,129
1592715851,7,16
1592717798,101,129
1592719694,60,52
1592720700,81,52
1592721608,15,83
1592722851,92,59
1592723551,6,19
1592724611,308,4
1592725450,31,74
1592726112,62,33
1592727366,11,25
1592729311,117,152
1592729800,37,36
1592731209,5,14
1592732043,65,102
1592733130,15,8
1592733655,65,68
1592735070,4,491
1592735104,37,0
1592735646,17,102
1592736966,11,15
1592737249,48,70
1592738906,210,0
1592739243,74,49
1592740809,11,7
1592740852,102,96
1592742732,79,6
1592743502,0,1023
1592743928,49,113
1592744667,8,5
1592746567,14,7
1592748488,203,260
1592749506,33,1
1592750427,13,4
1592751004,55,150
1592752327,6,10
1592753103,84,43
1592754268,3,7
1592754724,97,118
1592756165,17,9
1592757012,1302,295
1592758088,79,143
1592758485,62,27
1592760024,26,12
1592760844,73,134
1592761926,27,3
1592762238,77,30
1592763867,284,519
1592763903,148,43
1592764814,285,110
1592765768,40,22
1592766912,497,63
1592767684,29,12
1592768044,219,55
1592769629,29,8
1592771531,13,8
1592771644,356,125
1592773693,606,327
1592774704,104,1
1592775607,8,10
1592776204,207,94
1592777555,8,10
1592778845,273,112
1592779452,9,11
1592780267,105,19
1592781370,185,0
1592781904,103,65
1592782444,32,109
1592783307,7,8
1592784057,96,146
1592785208,17,0
1592785504,77,2
1592786044,38,125
1592787128,12,7
1592787657,155,165
1592789071,16,5
1592789105,345,1
1592790966,31,8
1592792516,222,180
1592792884,24,5
1592793244,66,107
1592794827,35,6
1592794855,92,50
1592796730,97,10
1592796844,34,38
1592798647,24,6
1592799575,188,34
1592800590,66,43
1592802500,22,6
1592804413,153,58
1592804804,58,84
1592806588,21,7
1592807645,160,89
1592808489,15,14
1592809258,131,61
1592810407,21,20
1592810708,96,0
1592812345,15,6
1592813689,167,86
1592814248,15,13
1592815512,49,71
1592816168,17,11
1592816206,73,21
1592817542,85,59
1592818085,14,8
1592819404,108,101
1592820011,14,433
1592821143,116,38
